"phase","parPri","parPub","trial","rat","phaseNum","nRating","stim","nRat","rat0comp","spq","excInh","ctrlType"
"ph1",5882540,"attzcoia",3,100,1,"ph1_2","E",2,100,54,"Inh","pre. (E & I)"
"ph1",5882540,"attzcoia",4,-44,1,"ph1_2","I",2,44,54,"Exc","pre. (E & I)"
"ph1",5882540,"attzcoia",5,-64,1,"ph1_4","E",4,-64,54,"Inh","pre. (E & I)"
"ph1",5882540,"attzcoia",6,-48,1,"ph1_4","I",4,48,54,"Exc","pre. (E & I)"
"ph1",5882540,"attzcoia",7,-54,1,"ph1_8","I",8,54,54,"Exc","pre. (E & I)"
"ph1",5882540,"attzcoia",8,38,1,"ph1_8","E",8,38,54,"Inh","pre. (E & I)"
"ph1",5885004,"ea5wai3y",1,30,1,"ph1_1","I",1,-30,134,"Exc","pre. (E & I)"
"ph1",5885004,"ea5wai3y",2,80,1,"ph1_1","E",1,80,134,"Inh","pre. (E & I)"
"ph1",5885004,"ea5wai3y",3,34,1,"ph1_2","I",2,-34,134,"Exc","pre. (E & I)"
"ph1",5885004,"ea5wai3y",4,-40,1,"ph1_2","E",2,-40,134,"Inh","pre. (E & I)"
"ph1",5885004,"ea5wai3y",5,-38,1,"ph1_4","I",4,38,134,"Exc","pre. (E & I)"
"ph1",5885004,"ea5wai3y",6,24,1,"ph1_4","E",4,24,134,"Inh","pre. (E & I)"
"ph1",5885004,"ea5wai3y",7,64,1,"ph1_8","I",8,-64,134,"Exc","pre. (E & I)"
"ph1",5885004,"ea5wai3y",8,28,1,"ph1_8","E",8,28,134,"Inh","pre. (E & I)"
"ph1",5885011,"wuwogxom",1,64,1,"ph1_1","I",1,-64,56,"Exc","pre. (E & I)"
"ph1",5885011,"wuwogxom",2,54,1,"ph1_1","E",1,54,56,"Inh","pre. (E & I)"
"ph1",5885011,"wuwogxom",3,18,1,"ph1_2","E",2,18,56,"Inh","pre. (E & I)"
"ph1",5885011,"wuwogxom",4,-16,1,"ph1_2","I",2,16,56,"Exc","pre. (E & I)"
"ph1",5885011,"wuwogxom",5,82,1,"ph1_4","I",4,-82,56,"Exc","pre. (E & I)"
"ph1",5885011,"wuwogxom",6,42,1,"ph1_4","E",4,42,56,"Inh","pre. (E & I)"
"ph1",5885011,"wuwogxom",7,84,1,"ph1_8","E",8,84,56,"Inh","pre. (E & I)"
"ph1",5885011,"wuwogxom",8,8,1,"ph1_8","I",8,-8,56,"Exc","pre. (E & I)"
"ph1",5885020,"irjjl0pi",1,56,1,"ph1_1","I",1,-56,71,"Exc","pre. (E & I)"
"ph1",5885020,"irjjl0pi",2,46,1,"ph1_1","E",1,46,71,"Inh","pre. (E & I)"
"ph1",5885020,"irjjl0pi",3,40,1,"ph1_2","E",2,40,71,"Inh","pre. (E & I)"
"ph1",5885020,"irjjl0pi",4,62,1,"ph1_2","I",2,-62,71,"Exc","pre. (E & I)"
"ph1",5885020,"irjjl0pi",5,40,1,"ph1_4","I",4,-40,71,"Exc","pre. (E & I)"
"ph1",5885020,"irjjl0pi",6,60,1,"ph1_4","E",4,60,71,"Inh","pre. (E & I)"
"ph1",5885020,"irjjl0pi",7,32,1,"ph1_8","E",8,32,71,"Inh","pre. (E & I)"
"ph1",5885020,"irjjl0pi",8,46,1,"ph1_8","I",8,-46,71,"Exc","pre. (E & I)"
"ph1",5885009,"ptim4kfr",1,78,1,"ph1_1","I",1,-78,127,"Exc","pre. (E & I)"
